"authorId","fullName","surname","givenName","documentCount","university","city","country","topSubjectArea","orcid"
"56785943200","Ruqaiya Khanam","Khanam","Ruqaiya",45,"Sharda University","Greater Noida","India","Computer Science (all)",""
"58161025100","Prashant Upadhyay","Upadhyay","Prashant",45,"Sharda University","Greater Noida","India","Computer Science (all)","0000-0002-9257-9181"
"57215875665","Suman Lata","Lata","Suman",45,"Sharda University","Greater Noida","India","Engineering (all)","0000-0002-5806-7967"
"51864528900","Saleem Siddiqui","Siddiqui","Saleem",44,"Sharda University","Greater Noida","India","Agricultural and Biological Sciences (all)","0000-0001-6189-5707"
"57191977297","Rohit Kumar Tiwari","Tiwari","Rohit Kumar",44,"Sharda University","Greater Noida","India","Medicine (all)","0000-0001-8215-633X"
"57210827340","Mridul Dharwal","Dharwal","Mridul",44,"Sharda University","Greater Noida","India","Materials Science (all)","0000-0002-7977-4062"
"57192586789","Khursheed Alam","Alam","Khursheed",43,"Sharda University","Greater Noida","India","Mathematics (all)","0000-0003-4168-3736"
"56241488700","Aman Chowdhry","Chowdhry","Aman",42,"Jamia Millia Islamia","New Delhi","India","Dentistry (all)","0000-0001-6243-4152"
"57095593900","Ali Imam Abidi","Abidi","Ali Imam",42,"Sharda University","Greater Noida","India","Computer Science (all)","0000-0002-7420-0027"
"57205756327","Har Mohan Singh","Singh","Har Mohan",42,"Sharda University","Greater Noida","India","Energy (all)","0000-0002-5030-2213"
"55685391900","Radhey Shyam Sharma","Sharma","Radhey Shyam",42,"Sharda University","Greater Noida","India","Medicine (all)",""
"56584282600","Rashmi Raj Priyadarshini","Priyadarshini","Rashmi Raj",42,"Sharda University","Greater Noida","India","Computer Science (all)",""
"57213131605","Preeti C. Jain","Jain","Preeti C.",42,"Sharda University","Greater Noida","India","Chemistry (all)","0000-0001-6273-3080"
"55574186745","S. Majumder","Majumder","S.",41,"Sharda University","Greater Noida","India","Agricultural and Biological Sciences (all)","0000-0001-5461-3441"
"57216794088","Ashwini Kumar","Kumar","Ashwini",40,"Sharda University","Greater Noida","India","Medicine (all)","0000-0002-4696-4652"
"59685447500","Vivek Srivastava","Srivastava","Vivek",40,"Sharda University","Greater Noida","India","Materials Science (all)",""
"57190673104","Sushant Singh","Singh","Sushant",40,"Sharda University","Greater Noida","India","Medicine (all)","0000-0002-0858-4405"
"57204512881","Chaitenya Verma","Verma","Chaitenya",39,"Sharda University","Greater Noida","India","Medicine (all)","0000-0001-5723-6346"
"57170217300","Rohit Kumar Sachan","Sachan","Rohit Kumar",39,"Sharda University","Greater Noida","India","Computer Science (all)","0000-0001-6018-3716"
"56118654900","Kuldeep Chouhan","Chouhan","Kuldeep",39,"Sharda University","Greater Noida","India","Computer Science (all)","0000-0002-4086-823X"
"55412107800","Priyanka Kapoor","Kapoor","Priyanka",38,"Jamia Millia Islamia","New Delhi","India","Dentistry (all)",""
"57195761715","Anwar Alam","Alam","Anwar",38,"Sharda University","Greater Noida","India","Medicine (all)",""
"35316920800","Amrit Kumar Agrawal","Agrawal","Amrit Kumar",38,"Sharda University","Greater Noida","India","Computer Science (all)","0000-0002-1176-1716"
"57194409375","Yojna Arora","Arora","Yojna",38,"Sharda University","Greater Noida","India","Computer Science (all)","0000-0002-6056-2465"
"36343912800","Renu Mishra","Mishra","Renu",37,"Sharda University","Greater Noida","India","Computer Science (all)","0000-0002-5211-8751"
"36548975500","Dharm Raj","Raj","Dharm",37,"Sharda University","Greater Noida","India","Computer Science (all)","0000-0001-8363-0515"
"59600963200","Ashok Kumar Gupta","Gupta","Ashok Kumar",37,"Sharda University","Greater Noida","India","Medicine (all)",""
"57191172907","Santosh Kumar Mishra","Mishra","Santosh Kumar",36,"Sharda University","Greater Noida","India","Biochemistry, Genetics and Molecular Biology (all)","0000-0001-7462-0737"
"35114195300","Sachin Teotia","Teotia","Sachin",36,"Sharda University","Greater Noida","India","Agricultural and Biological Sciences (all)","0000-0002-6601-1795"
"58475240900","Sanjog Chhetri Sapkota","Sapkota","Sanjog Chhetri",36,"Sharda University","Greater Noida","India","Engineering (all)",""
"57671614900","Vinay Kumar Verma","Verma","Vinay Kumar",36,"Sharda University","Greater Noida","India","Materials Science (all)",""
"55201427900","Annette Angel","Angel","Annette",35,"Sharda University","Greater Noida","India","Biochemistry, Genetics and Molecular Biology (all)",""
"57210698665","Sally Lukose","Lukose","Sally",35,"Sharda University","Greater Noida","India","Medicine (all)",""
"35578895700","Anoop Raj","Raj","Anoop",35,"Sharda University","Greater Noida","India","Medicine (all)",""
"57209831024","Ravinder K. Gupta","Gupta","Ravinder K.",35,"Sharda University","Greater Noida","India","Medicine (all)",""
"55605767150","Gyanendra Kumar Sharma","Sharma","Gyanendra Kumar",34,"Sharda University","Greater Noida","India","Medicine (all)","0000-0003-0973-0483"
"24577662900","Namita Khanna","Khanna","Namita",34,"Sharda University","Greater Noida","India","Energy (all)",""
"57207727493","Anjali Goyal","Goyal","Anjali",34,"Sharda University","Greater Noida","India","Computer Science (all)",""
"57208767328","Ankita Tiwari","Tiwari","Ankita",34,"Sharda University","Greater Noida","India","Pharmacology, Toxicology and Pharmaceutics (all)",""
"56038936700","Suman Mallick","Mallick","Suman",34,"Sharda University","Greater Noida","India","Chemistry (all)","0000-0002-1205-2567"
"23968988900","Anindita De","De","Anindita",34,"Sharda University","Greater Noida","India","Chemistry (all)","0000-0003-0947-0562"
"57205682539","Yadala Sucharitha","Sucharitha","Yadala",33,"Sharda University","Greater Noida","India","Engineering (all)","0000-0001-7452-6126"
"57835820200","Ganesh Gupta","Gupta","Ganesh",33,"Sharda University","Greater Noida","India","Computer Science (all)","0000-0001-9623-292X"
"58829767300","Preeti Sharma","Sharma","Preeti",33,"Sharda University","Greater Noida","India","Engineering (all)",""
"57200324075","Hari Shankar Shyam","Shyam","Hari Shankar",33,"Sharda University","Greater Noida","India","Physics and Astronomy (all)","0000-0002-2305-922X"
"48860997900","Lalit Pratap Chandravanshi","Chandravanshi","Lalit Pratap",32,"Sharda University","Greater Noida","India","Pharmacology, Toxicology and Pharmaceutics (all)","0000-0002-0425-6797"
"56624744900","Geeta Durga","Durga","Geeta",32,"Sharda University","Greater Noida","India","Materials Science (all)","0000-0002-3295-7312"
"57210958685","Pallavi Gupta","Gupta","Pallavi",32,"Sharda University","Greater Noida","India","Computer Science (all)","0000-0002-1588-7113"
"57192154148","Amrit Suman","Suman","Amrit",32,"Sharda University","Greater Noida","India","Computer Science (all)",""
"57199212360","Abhimanyu Singh","Singh","Abhimanyu",32,"Sharda University","Greater Noida","India","Materials Science (all)",""
"57218165868","Shruti P. Singh","Singh","Shruti P.",32,"Sharda University","Greater Noida","India","Materials Science (all)",""
"35784977400","Vimlendu Bhushan Sinha","Sinha","Vimlendu Bhushan",31,"Rani Lakshmi Bai Central Agricultural University","Jhansi","India","Agricultural and Biological Sciences (all)",""
"57967417200","Harsh Sable","Sable","Harsh",31,"Sharda University","Greater Noida","India","Medicine (all)","0000-0002-7054-1561"
"52163254600","Deepak Bhargava","Bhargava","Deepak",31,"Sharda University","Greater Noida","India","Medicine (all)",""
"57226676144","Bhumesh Tyagi","Tyagi","Bhumesh",31,"Sharda University","Greater Noida","India","Medicine (all)",""
"55658086800","Ratnakar Shukla","Shukla","Ratnakar",31,"Sharda University","Greater Noida","India","Medicine (all)","0000-0002-3222-0898"
"58709769300","Pankaj C. Gupta","Gupta","Pankaj C.",31,"Sharda University","Greater Noida","India","Chemistry (all)",""
"55076395200","Usha Tiwari","Tiwari","Usha",31,"Sharda University","Greater Noida","India","Engineering (all)",""
"57190795778","Shiva Pujan Jaiswal","Jaiswal","Shiva Pujan",31,"Sharda University","Greater Noida","India","Energy (all)",""
"57200504854","Pawan Kumar Verma","Verma","Pawan Kumar",30,"Sharda University","Greater Noida","India","Computer Science (all)","0000-0002-2189-3974"
"56785003700","Keshav Gupta","Gupta","Keshav",30,"Sharda University","Greater Noida","India","Computer Science (all)","0000-0001-7851-1976"
"7003840975","Virender Kumar Gautam","Gautam","Virender Kumar",30,"Sharda University","Greater Noida","India","Medicine (all)",""
"59775342900","Pooja","Pooja","",30,"Sharda University","Greater Noida","India","Computer Science (all)","0009-0001-3006-9274"
"56161988200","Gouri Sankar Mishra","Mishra","Gouri Sankar",30,"Sharda University","Greater Noida","India","Computer Science (all)","0000-0002-9103-3478"
"57191598251","A. Agarwal","Agarwal","A.",30,"Sharda University","Greater Noida","India","Materials Science (all)","0000-0001-5867-9288"
"56219683600","S. Shankara Narayanan","Narayanan","S. Shankara",30,"Sharda University","Greater Noida","India","Chemistry (all)","0000-0002-5092-3263"
"57202825786","Rita Singh Majumdar","Majumdar","Rita Singh",30,"Sharda University","Greater Noida","India","Agricultural and Biological Sciences (all)",""
"57226008897","Santosh Kumar","Kumar","Santosh",30,"Sharda University","Greater Noida","India","Computer Science (all)","0000-0001-9500-7229"
"56304379000","Garima Chouhan","Chouhan","Garima",30,"Sharda University","Greater Noida","India","Medicine (all)",""
"55247697500","Gupteswar Sahu","Sahu","Gupteswar",29,"Sharda University","Greater Noida","India","Engineering (all)","0000-0002-0263-1346"
"57219382743","Murari Kumar Singh","Singh","Murari Kumar",29,"Sharda University","Greater Noida","India","Computer Science (all)","0000-0002-1251-6229"
"36115282900","Manish Pal Singh","Singh","Manish Pal",29,"Sharda University","Greater Noida","India","Pharmacology, Toxicology and Pharmaceutics (all)","0000-0001-6243-6385"
"57225851776","Mahendra Kumar","Kumar","Mahendra",29,"Sharda University","Greater Noida","India","Medicine (all)",""
"57206930969","Gaurav Kumar Singh","Singh","Gaurav Kumar",29,"Sharda University","Greater Noida","India","Medicine (all)","0000-0002-6363-0371"
"57697450100","Zatin Gupta","Gupta","Zatin",29,"Sharda University","Greater Noida","India","Computer Science (all)","0000-0003-1824-6677"
"56320393000","Sharad Agrawal","Agrawal","Sharad",29,"Sharda University","Greater Noida","India","Biochemistry, Genetics and Molecular Biology (all)",""
"57203297302","Munendra Singh","Singh","Munendra",28,"Sharda University","Greater Noida","India","Physics and Astronomy (all)","0000-0003-1068-0727"
"58852252200","Pardeep Singh Bains","Bains","Pardeep Singh",28,"Sharda University","Greater Noida","India","Chemistry (all)",""
